gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	comparison
RPS4X	0.00000	-0.94088	0.93500	0.96200	0.00000	ciliated_sars_vs_healthy
MT-ND5	0.00000	-0.90316	0.79000	0.98500	0.00000	ciliated_sars_vs_healthy
SCPEP1	0.00000	-0.89545	0.73700	0.80300	0.00000	ciliated_sars_vs_healthy
NUPR1	0.00000	-0.87890	0.49400	0.63500	0.00000	ciliated_sars_vs_healthy
CD44	0.00000	-0.85641	0.70700	0.71700	0.00000	ciliated_sars_vs_healthy
EGFR	0.00000	-0.85146	0.62600	0.68700	0.00000	ciliated_sars_vs_healthy
IGFBP2	0.00000	-0.83809	0.37600	0.57500	0.00000	ciliated_sars_vs_healthy
LINC00969	0.00000	-0.83680	0.84100	0.84100	0.00000	ciliated_sars_vs_healthy
NEAT1	0.00000	-0.79024	0.95400	0.88700	0.00000	ciliated_sars_vs_healthy
CD81	0.00000	-0.77706	0.91100	0.89200	0.00000	ciliated_sars_vs_healthy
KRT13	0.00000	-0.77324	0.14100	0.22300	0.00000	ciliated_sars_vs_healthy
PTMS	0.00000	-0.76921	0.79100	0.73400	0.00000	ciliated_sars_vs_healthy
CES1	0.00000	-0.75828	0.22000	0.31400	0.00000	ciliated_sars_vs_healthy
FGFR3	0.00000	-0.74558	0.49600	0.53700	0.00000	ciliated_sars_vs_healthy
RPL13A	0.00000	-0.74230	0.95300	0.98900	0.00000	ciliated_sars_vs_healthy
BCAM	0.00000	-0.74165	0.21300	0.42100	0.00000	ciliated_sars_vs_healthy
PLP2	0.00000	-0.73583	0.40900	0.50300	0.00000	ciliated_sars_vs_healthy
ITGA6	0.00000	-0.73541	0.23800	0.46500	0.00000	ciliated_sars_vs_healthy
SLC26A2	0.00000	-0.73520	0.62700	0.68000	0.00000	ciliated_sars_vs_healthy
RBP1	0.00000	-0.73183	0.45800	0.58600	0.00000	ciliated_sars_vs_healthy
IVNS1ABP	0.00000	-0.72963	0.66800	0.74800	0.00000	ciliated_sars_vs_healthy
EPAS1	0.00000	-0.72757	0.93800	0.97000	0.00000	ciliated_sars_vs_healthy
MYH9	0.00000	-0.72360	0.77900	0.83700	0.00000	ciliated_sars_vs_healthy
HSPB1	0.00000	-0.72010	0.97100	0.98500	0.00000	ciliated_sars_vs_healthy
SERPINB13	0.00000	-0.71209	0.26000	0.36100	0.00000	ciliated_sars_vs_healthy
CYP4B1	0.00000	-0.70339	0.91600	0.88200	0.00000	ciliated_sars_vs_healthy
CA12	0.00000	-0.70158	0.53600	0.57300	0.00000	ciliated_sars_vs_healthy
IER2	0.00000	-0.70128	0.79500	0.75600	0.00000	ciliated_sars_vs_healthy
CSRP2	0.00000	-0.69515	0.33200	0.39700	0.00000	ciliated_sars_vs_healthy
ITGB4	0.00000	-0.69451	0.63200	0.66600	0.00000	ciliated_sars_vs_healthy
CALML3	0.00000	-0.68838	0.01800	0.24200	0.00000	ciliated_sars_vs_healthy
RPS2	0.00000	-0.68781	0.91200	0.97200	0.00016	ciliated_sars_vs_healthy
NET1	0.00000	-0.66094	0.79200	0.82100	0.00000	ciliated_sars_vs_healthy
BTG2	0.00000	-0.66061	0.28100	0.46300	0.00000	ciliated_sars_vs_healthy
NKTR	0.00000	-0.65522	0.84800	0.85100	0.00000	ciliated_sars_vs_healthy
EGR1	0.00000	-0.65150	0.21700	0.33400	0.00000	ciliated_sars_vs_healthy
CLSTN1	0.00000	-0.64323	0.84700	0.83900	0.00000	ciliated_sars_vs_healthy
KRT8	0.00000	-0.64230	0.95800	0.96500	0.00000	ciliated_sars_vs_healthy
TFCP2L1	0.00000	-0.64129	0.82000	0.78600	0.00000	ciliated_sars_vs_healthy
TXNIP	0.00000	-0.64000	0.95800	0.96500	0.00000	ciliated_sars_vs_healthy
RPL4	0.00000	-0.63875	0.91700	0.93700	0.00000	ciliated_sars_vs_healthy
ERAP2	0.00000	-0.63682	0.36400	0.58000	0.00000	ciliated_sars_vs_healthy
PTPRF	0.00000	-0.63246	0.79500	0.81300	0.00000	ciliated_sars_vs_healthy
FMO2	0.00000	-0.63007	0.22600	0.36900	0.00000	ciliated_sars_vs_healthy
APLP2	0.00000	-0.62688	0.95100	0.94800	0.00000	ciliated_sars_vs_healthy
ATP1A1	0.00000	-0.62095	0.96100	0.96100	0.00000	ciliated_sars_vs_healthy
SLC6A6	0.00000	-0.61810	0.83600	0.82100	0.00000	ciliated_sars_vs_healthy
AQP3	0.00000	-0.61382	0.98800	0.99700	0.00000	ciliated_sars_vs_healthy
FAT2	0.00000	-0.61132	0.16800	0.37500	0.00000	ciliated_sars_vs_healthy
PLAT	0.00000	-0.60197	0.07200	0.26100	0.00000	ciliated_sars_vs_healthy
LYPD3	0.00000	-0.60158	0.31300	0.39000	0.00000	ciliated_sars_vs_healthy
CYP26A1	0.00000	-0.60000	0.09000	0.25800	0.00000	ciliated_sars_vs_healthy
CLU	0.00000	-0.59828	0.89500	0.74900	0.00004	ciliated_sars_vs_healthy
BTG1	0.00000	-0.59664	0.90100	0.91700	0.00000	ciliated_sars_vs_healthy
CLCA2	0.00000	-0.59424	0.05800	0.27900	0.00000	ciliated_sars_vs_healthy
TNC	0.00000	-0.59386	0.06900	0.29000	0.00000	ciliated_sars_vs_healthy
